Year,Series,Arbeitslosenquoten,Anteil der Arbeitslosen,Value
2010,Anteil der Arbeitslosen,,Anteil Menschen ohne abgeschlossene Berufsausbildung,42.8
2011,Anteil der Arbeitslosen,,Anteil Menschen ohne abgeschlossene Berufsausbildung,44.4
2012,Anteil der Arbeitslosen,,Anteil Menschen ohne abgeschlossene Berufsausbildung,45.1
2013,Anteil der Arbeitslosen,,Anteil Menschen ohne abgeschlossene Berufsausbildung,45.6
2014,Anteil der Arbeitslosen,,Anteil Menschen ohne abgeschlossene Berufsausbildung,46.5
2015,Anteil der Arbeitslosen,,Anteil Menschen ohne abgeschlossene Berufsausbildung,47.9
2016,Anteil der Arbeitslosen,,Anteil Menschen ohne abgeschlossene Berufsausbildung,48
2017,Anteil der Arbeitslosen,,Anteil Menschen ohne abgeschlossene Berufsausbildung,46.6
2018,Anteil der Arbeitslosen,,Anteil Menschen ohne abgeschlossene Berufsausbildung,52
2019,Anteil der Arbeitslosen,,Anteil Menschen ohne abgeschlossene Berufsausbildung,53.9
2020,Anteil der Arbeitslosen,,Anteil Menschen ohne abgeschlossene Berufsausbildung,53.7
2021,Anteil der Arbeitslosen,,Anteil Menschen ohne abgeschlossene Berufsausbildung,54.6
2022,Anteil der Arbeitslosen,,Anteil Menschen ohne abgeschlossene Berufsausbildung,56.7
2023,Anteil der Arbeitslosen,,Anteil Menschen ohne abgeschlossene Berufsausbildung,57.6
2024,Anteil der Arbeitslosen,,Anteil Menschen ohne abgeschlossene Berufsausbildung,56.3
