Year,Units,Series,Geschlecht,Art der Hilfe,Value
2022,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - Grundsicherung,47635.0
2023,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - Grundsicherung,48760.0
2024,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - Grundsicherung,50625.0
2006,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,AsylbLG,4420.0
2007,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,AsylbLG,4195.0
2008,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,AsylbLG,3712.0
2009,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,AsylbLG,3812.0
2010,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,AsylbLG,4039.0
2011,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,AsylbLG,4472.0
2012,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,AsylbLG,5409.0
2013,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,AsylbLG,7554.0
2014,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,AsylbLG,12248.0
2015,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,AsylbLG,35944.0
2016,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,AsylbLG,29476.0
2017,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,AsylbLG,16716.0
2018,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,AsylbLG,15762.0
2019,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,AsylbLG,15498.0
2020,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,AsylbLG,17265.0
2021,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,AsylbLG,16050.0
2022,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,AsylbLG,15565.0
2023,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,AsylbLG,18115.0
2024,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,AsylbLG,14470.0
